productName,quantity,productDescription,materialType,weight,price
Chisel E,125,A high-quality chisel designed for durability and efficiency.,Fabric,1.77,13.32
Clamp F,383,A high-quality clamp designed for durability and efficiency.,Wood,52.58,199.72
Level G,47,A high-quality level designed for durability and efficiency.,Wood,96.71,313.83
Sandpaper H,316,A high-quality sandpaper designed for durability and efficiency.,Plastic,15.82,353.4
Wire Cutter I,338,A high-quality wire designed for durability and efficiency.,Ceramic,1.28,418.77
Socket J,28,A high-quality socket designed for durability and efficiency.,Fabric,54.17,112.22
Drill Bit K,223,A high-quality drill designed for durability and efficiency.,Glass,91.81,469.59
Grinder L,31,A high-quality grinder designed for durability and efficiency.,Wood,37.64,49.7
Screw M,46,A high-quality screw designed for durability and efficiency.,Plastic,95.12,401.53
Bolt N,126,A high-quality bolt designed for durability and efficiency.,Fabric,36.86,285.81
Nail O,80,A high-quality nail designed for durability and efficiency.,Metal,37.0,138.89
Hammer P,493,A high-quality hammer designed for durability and efficiency.,Glass,33.79,414.3
Wrench Q,388,A high-quality wrench designed for durability and efficiency.,Ceramic,23.6,227.39
Drill R,447,A high-quality drill designed for durability and efficiency.,Glass,81.07,310.61
Saw S,42,A high-quality saw designed for durability and efficiency.,Composite,80.33,102.76
Pliers T,194,A high-quality pliers designed for durability and efficiency.,Ceramic,88.66,4.02
Tape Measure U,161,A high-quality tape designed for durability and efficiency.,Ceramic,17.2,310.72
Screwdriver V,433,A high-quality screwdriver designed for durability and efficiency.,Wood,63.98,69.14
Nut W,446,A high-quality nut designed for durability and efficiency.,Metal,40.34,217.59
Washer X,242,A high-quality washer designed for durability and efficiency.,Ceramic,73.76,109.96
Chisel Y,486,A high-quality chisel designed for durability and efficiency.,Metal,42.76,190.09
Clamp Z,29,A high-quality clamp designed for durability and efficiency.,Ceramic,10.31,19.94
Level A,423,A high-quality level designed for durability and efficiency.,Composite,28.29,439.6
Sandpaper B,216,A high-quality sandpaper designed for durability and efficiency.,Fabric,49.56,165.96
Wire Cutter C,264,A high-quality wire designed for durability and efficiency.,Ceramic,57.88,420.23
Socket D,4,A high-quality socket designed for durability and efficiency.,Metal,24.22,463.74
Drill Bit E,114,A high-quality drill designed for durability and efficiency.,Ceramic,56.44,340.75
Grinder F,165,A high-quality grinder designed for durability and efficiency.,Plastic,77.83,331.16
Screw G,119,A high-quality screw designed for durability and efficiency.,Metal,69.42,230.02
Bolt H,473,A high-quality bolt designed for durability and efficiency.,Glass,29.08,9.77
Nail I,87,A high-quality nail designed for durability and efficiency.,Ceramic,26.95,185.96
Hammer J,178,A high-quality hammer designed for durability and efficiency.,Plastic,31.86,165.99
Wrench K,449,A high-quality wrench designed for durability and efficiency.,Metal,51.18,365.84
Drill L,472,A high-quality drill designed for durability and efficiency.,Fabric,80.16,281.31
Saw M,324,A high-quality saw designed for durability and efficiency.,Ceramic,2.17,16.25
Pliers N,144,A high-quality pliers designed for durability and efficiency.,Ceramic,22.74,405.93
Tape Measure O,397,A high-quality tape designed for durability and efficiency.,Metal,62.74,199.39
Screwdriver P,98,A high-quality screwdriver designed for durability and efficiency.,Wood,17.74,364.43
Nut Q,409,A high-quality nut designed for durability and efficiency.,Glass,72.7,91.75
Washer R,260,A high-quality washer designed for durability and efficiency.,Composite,15.66,443.64
Chisel S,285,A high-quality chisel designed for durability and efficiency.,Metal,58.9,224.31
Clamp T,217,A high-quality clamp designed for durability and efficiency.,Glass,75.55,447.74
Level U,82,A high-quality level designed for durability and efficiency.,Ceramic,54.54,147.6
Sandpaper V,147,A high-quality sandpaper designed for durability and efficiency.,Plastic,84.37,434.99
Wire Cutter W,279,A high-quality wire designed for durability and efficiency.,Ceramic,97.31,425.76
Socket X,449,A high-quality socket designed for durability and efficiency.,Ceramic,75.63,35.33
Drill Bit Y,169,A high-quality drill designed for durability and efficiency.,Glass,72.31,176.5
Grinder Z,285,A high-quality grinder designed for durability and efficiency.,Plastic,38.64,484.77
Screw A,415,A high-quality screw designed for durability and efficiency.,Wood,45.8,297.92
Bolt B,204,A high-quality bolt designed for durability and efficiency.,Plastic,98.61,326.26
Nail C,292,A high-quality nail designed for durability and efficiency.,Metal,57.17,170.91
Hammer D,453,A high-quality hammer designed for durability and efficiency.,Plastic,98.21,320.85
Wrench E,214,A high-quality wrench designed for durability and efficiency.,Fabric,90.84,389.37
Drill F,414,A high-quality drill designed for durability and efficiency.,Glass,9.37,368.74
Saw G,140,A high-quality saw designed for durability and efficiency.,Wood,34.44,104.13
Pliers H,459,A high-quality pliers designed for durability and efficiency.,Plastic,79.91,84.48
Tape Measure I,189,A high-quality tape designed for durability and efficiency.,Composite,67.9,249.89
Screwdriver J,399,A high-quality screwdriver designed for durability and efficiency.,Ceramic,85.54,248.31
Nut K,156,A high-quality nut designed for durability and efficiency.,Wood,53.19,406.79
Washer L,119,A high-quality washer designed for durability and efficiency.,Wood,23.62,442.79
Chisel M,444,A high-quality chisel designed for durability and efficiency.,Wood,7.68,296.82
Clamp N,475,A high-quality clamp designed for durability and efficiency.,Glass,17.16,307.98
Level O,60,A high-quality level designed for durability and efficiency.,Metal,72.9,83.24
Sandpaper P,330,A high-quality sandpaper designed for durability and efficiency.,Composite,19.38,201.79
Wire Cutter Q,59,A high-quality wire designed for durability and efficiency.,Glass,88.23,7.83
Socket R,367,A high-quality socket designed for durability and efficiency.,Metal,18.94,28.38
Drill Bit S,254,A high-quality drill designed for durability and efficiency.,Ceramic,90.9,40.3
Grinder T,395,A high-quality grinder designed for durability and efficiency.,Composite,66.81,21.68
Screw U,341,A high-quality screw designed for durability and efficiency.,Wood,19.3,448.83
Bolt V,52,A high-quality bolt designed for durability and efficiency.,Ceramic,28.04,261.9
Nail W,130,A high-quality nail designed for durability and efficiency.,Wood,34.78,482.21
Hammer X,93,A high-quality hammer designed for durability and efficiency.,Wood,76.08,308.26
Wrench Y,164,A high-quality wrench designed for durability and efficiency.,Ceramic,49.54,479.29
Drill Z,356,A high-quality drill designed for durability and efficiency.,Wood,18.73,270.12
Saw A,187,A high-quality saw designed for durability and efficiency.,Plastic,37.18,131.0
Pliers B,19,A high-quality pliers designed for durability and efficiency.,Wood,12.43,300.4
Tape Measure C,151,A high-quality tape designed for durability and efficiency.,Wood,91.65,65.16
Screwdriver D,277,A high-quality screwdriver designed for durability and efficiency.,Ceramic,20.16,116.39
Nut E,144,A high-quality nut designed for durability and efficiency.,Fabric,30.14,110.74
Washer F,243,A high-quality washer designed for durability and efficiency.,Plastic,75.8,6.7
Chisel G,311,A high-quality chisel designed for durability and efficiency.,Plastic,69.89,364.11
Clamp H,408,A high-quality clamp designed for durability and efficiency.,Ceramic,39.75,273.23
Level I,339,A high-quality level designed for durability and efficiency.,Metal,19.47,402.4
Sandpaper J,59,A high-quality sandpaper designed for durability and efficiency.,Wood,48.03,240.88
Wire Cutter K,487,A high-quality wire designed for durability and efficiency.,Ceramic,97.88,182.54
Socket L,444,A high-quality socket designed for durability and efficiency.,Glass,54.09,56.11
Drill Bit M,73,A high-quality drill designed for durability and efficiency.,Composite,54.98,241.46
Grinder N,143,A high-quality grinder designed for durability and efficiency.,Metal,93.8,75.45
Screw O,257,A high-quality screw designed for durability and efficiency.,Composite,23.94,342.61
Bolt P,458,A high-quality bolt designed for durability and efficiency.,Composite,52.86,352.78
Nail Q,230,A high-quality nail designed for durability and efficiency.,Wood,40.29,24.79
Hammer R,25,A high-quality hammer designed for durability and efficiency.,Wood,53.59,410.89
Wrench S,337,A high-quality wrench designed for durability and efficiency.,Fabric,89.45,88.39
Drill T,41,A high-quality drill designed for durability and efficiency.,Glass,44.73,37.27
Saw U,283,A high-quality saw designed for durability and efficiency.,Ceramic,83.62,73.61
Pliers V,100,A high-quality pliers designed for durability and efficiency.,Plastic,50.74,119.05
Tape Measure W,228,A high-quality tape designed for durability and efficiency.,Glass,34.75,336.95
Screwdriver X,418,A high-quality screwdriver designed for durability and efficiency.,Composite,20.78,196.21
Nut Y,364,A high-quality nut designed for durability and efficiency.,Glass,23.92,77.33
Washer Z,151,A high-quality washer designed for durability and efficiency.,Metal,98.87,122.62
Chisel A,375,A high-quality chisel designed for durability and efficiency.,Composite,65.3,222.03
Clamp B,111,A high-quality clamp designed for durability and efficiency.,Wood,96.57,20.94
Level C,29,A high-quality level designed for durability and efficiency.,Wood,92.46,431.12
Sandpaper D,73,A high-quality sandpaper designed for durability and efficiency.,Wood,66.49,267.85
Wire Cutter E,233,A high-quality wire designed for durability and efficiency.,Ceramic,55.64,15.54
Socket F,330,A high-quality socket designed for durability and efficiency.,Wood,47.24,115.05
Drill Bit G,404,A high-quality drill designed for durability and efficiency.,Metal,5.65,213.88
Grinder H,205,A high-quality grinder designed for durability and efficiency.,Wood,39.6,446.45
Screw I,111,A high-quality screw designed for durability and efficiency.,Glass,79.92,367.93
Bolt J,431,A high-quality bolt designed for durability and efficiency.,Glass,62.46,374.96
Nail K,61,A high-quality nail designed for durability and efficiency.,Wood,19.3,340.58
Hammer L,11,A high-quality hammer designed for durability and efficiency.,Plastic,62.67,9.95
Wrench M,129,A high-quality wrench designed for durability and efficiency.,Fabric,75.82,247.16
Drill N,405,A high-quality drill designed for durability and efficiency.,Fabric,10.69,477.16
Saw O,201,A high-quality saw designed for durability and efficiency.,Ceramic,53.15,294.89
Pliers P,465,A high-quality pliers designed for durability and efficiency.,Wood,98.92,392.61
Tape Measure Q,444,A high-quality tape designed for durability and efficiency.,Glass,51.92,177.11
Screwdriver R,204,A high-quality screwdriver designed for durability and efficiency.,Metal,18.84,114.34
Nut S,19,A high-quality nut designed for durability and efficiency.,Glass,5.37,441.01
Washer T,311,A high-quality washer designed for durability and efficiency.,Ceramic,59.8,59.56
Chisel U,355,A high-quality chisel designed for durability and efficiency.,Ceramic,99.4,23.24
Clamp V,397,A high-quality clamp designed for durability and efficiency.,Metal,39.64,154.9
Level W,279,A high-quality level designed for durability and efficiency.,Ceramic,14.56,64.36
Sandpaper X,468,A high-quality sandpaper designed for durability and efficiency.,Wood,19.61,2.06
Wire Cutter Y,139,A high-quality wire designed for durability and efficiency.,Wood,91.94,264.43
Socket Z,166,A high-quality socket designed for durability and efficiency.,Glass,9.11,349.11
Drill Bit A,135,A high-quality drill designed for durability and efficiency.,Fabric,18.49,55.76
Grinder B,42,A high-quality grinder designed for durability and efficiency.,Composite,26.07,219.06
Screw C,376,A high-quality screw designed for durability and efficiency.,Fabric,36.3,227.63
Bolt D,84,A high-quality bolt designed for durability and efficiency.,Metal,87.99,67.33
Nail E,176,A high-quality nail designed for durability and efficiency.,Ceramic,29.62,422.99
Hammer F,122,A high-quality hammer designed for durability and efficiency.,Plastic,12.2,151.34
Wrench G,79,A high-quality wrench designed for durability and efficiency.,Fabric,73.12,357.27
Drill H,363,A high-quality drill designed for durability and efficiency.,Ceramic,48.37,349.02
Saw I,409,A high-quality saw designed for durability and efficiency.,Wood,87.21,20.87
Pliers J,156,A high-quality pliers designed for durability and efficiency.,Fabric,67.66,98.68
Tape Measure K,278,A high-quality tape designed for durability and efficiency.,Wood,2.29,7.04
Screwdriver L,105,A high-quality screwdriver designed for durability and efficiency.,Wood,92.95,14.44
Nut M,435,A high-quality nut designed for durability and efficiency.,Ceramic,34.81,171.04
Washer N,485,A high-quality washer designed for durability and efficiency.,Fabric,14.55,336.81
Chisel O,294,A high-quality chisel designed for durability and efficiency.,Fabric,44.86,97.53
Clamp P,413,A high-quality clamp designed for durability and efficiency.,Ceramic,6.56,438.75
Level Q,94,A high-quality level designed for durability and efficiency.,Metal,7.34,169.82
Sandpaper R,478,A high-quality sandpaper designed for durability and efficiency.,Fabric,78.08,441.56
Wire Cutter S,459,A high-quality wire designed for durability and efficiency.,Metal,96.39,143.34
Socket T,162,A high-quality socket designed for durability and efficiency.,Metal,90.1,116.5
Drill Bit U,445,A high-quality drill designed for durability and efficiency.,Plastic,94.81,225.13
Grinder V,414,A high-quality grinder designed for durability and efficiency.,Ceramic,73.62,339.11
Screw W,354,A high-quality screw designed for durability and efficiency.,Plastic,10.48,403.17
Bolt X,185,A high-quality bolt designed for durability and efficiency.,Metal,15.03,114.56
Nail Y,174,A high-quality nail designed for durability and efficiency.,Ceramic,4.73,42.01
Hammer Z,408,A high-quality hammer designed for durability and efficiency.,Composite,35.8,122.8
Wrench A,430,A high-quality wrench designed for durability and efficiency.,Wood,98.77,421.71
Drill B,345,A high-quality drill designed for durability and efficiency.,Plastic,3.99,162.75
Saw C,392,A high-quality saw designed for durability and efficiency.,Glass,51.56,66.64
Pliers D,31,A high-quality pliers designed for durability and efficiency.,Plastic,48.05,21.8
Tape Measure E,32,A high-quality tape designed for durability and efficiency.,Fabric,86.34,409.8
Screwdriver F,77,A high-quality screwdriver designed for durability and efficiency.,Wood,44.25,200.04
Nut G,279,A high-quality nut designed for durability and efficiency.,Ceramic,40.63,67.68
Washer H,189,A high-quality washer designed for durability and efficiency.,Wood,20.8,128.88
Chisel I,158,A high-quality chisel designed for durability and efficiency.,Metal,24.72,410.12
Clamp J,307,A high-quality clamp designed for durability and efficiency.,Metal,76.89,69.19
Level K,182,A high-quality level designed for durability and efficiency.,Ceramic,34.6,482.24
Sandpaper L,359,A high-quality sandpaper designed for durability and efficiency.,Glass,45.94,205.97
Wire Cutter M,486,A high-quality wire designed for durability and efficiency.,Fabric,40.08,206.11
Socket N,301,A high-quality socket designed for durability and efficiency.,Ceramic,2.38,397.69
Drill Bit O,160,A high-quality drill designed for durability and efficiency.,Composite,17.03,475.43
Grinder P,145,A high-quality grinder designed for durability and efficiency.,Plastic,21.62,244.29
Screw Q,419,A high-quality screw designed for durability and efficiency.,Glass,20.22,232.26
Bolt R,485,A high-quality bolt designed for durability and efficiency.,Fabric,63.21,262.5
Nail S,184,A high-quality nail designed for durability and efficiency.,Wood,54.05,11.37
Hammer T,401,A high-quality hammer designed for durability and efficiency.,Wood,38.33,487.52
Wrench U,344,A high-quality wrench designed for durability and efficiency.,Glass,14.53,85.44
Drill V,223,A high-quality drill designed for durability and efficiency.,Metal,83.84,77.73
Saw W,79,A high-quality saw designed for durability and efficiency.,Plastic,99.2,371.79
Pliers X,380,A high-quality pliers designed for durability and efficiency.,Wood,87.16,268.6
Tape Measure Y,403,A high-quality tape designed for durability and efficiency.,Composite,2.18,250.6
Screwdriver Z,178,A high-quality screwdriver designed for durability and efficiency.,Composite,23.33,55.32
Nut A,131,A high-quality nut designed for durability and efficiency.,Composite,21.83,3.36
Washer B,402,A high-quality washer designed for durability and efficiency.,Plastic,63.11,421.71
Chisel C,115,A high-quality chisel designed for durability and efficiency.,Wood,59.28,16.45
Clamp D,58,A high-quality clamp designed for durability and efficiency.,Plastic,92.93,248.9
Level E,164,A high-quality level designed for durability and efficiency.,Wood,77.71,13.0
Sandpaper F,10,A high-quality sandpaper designed for durability and efficiency.,Fabric,56.14,222.63
Wire Cutter G,6,A high-quality wire designed for durability and efficiency.,Ceramic,77.7,130.3
Socket H,464,A high-quality socket designed for durability and efficiency.,Fabric,26.92,400.97
Drill Bit I,404,A high-quality drill designed for durability and efficiency.,Composite,98.14,193.36
Grinder J,112,A high-quality grinder designed for durability and efficiency.,Ceramic,1.49,195.79
Screw K,439,A high-quality screw designed for durability and efficiency.,Plastic,99.89,53.88
Bolt L,498,A high-quality bolt designed for durability and efficiency.,Fabric,76.44,329.55
Nail M,160,A high-quality nail designed for durability and efficiency.,Ceramic,64.27,425.1
Hammer N,98,A high-quality hammer designed for durability and efficiency.,Glass,64.29,21.62
Wrench O,450,A high-quality wrench designed for durability and efficiency.,Metal,47.7,495.29
Drill P,106,A high-quality drill designed for durability and efficiency.,Metal,34.62,89.05
Saw Q,159,A high-quality saw designed for durability and efficiency.,Metal,37.71,474.76
Pliers R,193,A high-quality pliers designed for durability and efficiency.,Wood,57.03,239.72
Tape Measure S,185,A high-quality tape designed for durability and efficiency.,Glass,37.94,112.88
Screwdriver T,198,A high-quality screwdriver designed for durability and efficiency.,Fabric,31.15,146.65
Nut U,89,A high-quality nut designed for durability and efficiency.,Fabric,61.91,404.38
Washer V,9,A high-quality washer designed for durability and efficiency.,Glass,71.45,434.97
Chisel W,148,A high-quality chisel designed for durability and efficiency.,Wood,32.22,419.26
Clamp X,333,A high-quality clamp designed for durability and efficiency.,Metal,1.22,305.64
Level Y,2,A high-quality level designed for durability and efficiency.,Fabric,96.68,242.01
Sandpaper Z,200,A high-quality sandpaper designed for durability and efficiency.,Metal,67.62,251.56
Wire Cutter A,495,A high-quality wire designed for durability and efficiency.,Wood,88.62,94.74
Socket B,314,A high-quality socket designed for durability and efficiency.,Ceramic,96.12,426.76
Drill Bit C,467,A high-quality drill designed for durability and efficiency.,Plastic,49.09,214.95
Grinder D,312,A high-quality grinder designed for durability and efficiency.,Fabric,49.26,348.13
Screw E,321,A high-quality screw designed for durability and efficiency.,Ceramic,6.86,121.27
Bolt F,301,A high-quality bolt designed for durability and efficiency.,Fabric,30.88,499.28
Nail G,491,A high-quality nail designed for durability and efficiency.,Glass,77.69,426.28
Hammer H,382,A high-quality hammer designed for durability and efficiency.,Wood,65.7,166.47
Wrench I,168,A high-quality wrench designed for durability and efficiency.,Plastic,49.44,169.76
Drill J,334,A high-quality drill designed for durability and efficiency.,Fabric,78.53,342.72
Saw K,49,A high-quality saw designed for durability and efficiency.,Plastic,70.57,325.44
Pliers L,27,A high-quality pliers designed for durability and efficiency.,Metal,38.51,54.43
Tape Measure M,52,A high-quality tape designed for durability and efficiency.,Ceramic,65.56,217.58
Screwdriver N,294,A high-quality screwdriver designed for durability and efficiency.,Composite,20.59,330.39
Nut O,482,A high-quality nut designed for durability and efficiency.,Composite,78.37,494.99
Washer P,224,A high-quality washer designed for durability and efficiency.,Plastic,95.04,9.81
Chisel Q,188,A high-quality chisel designed for durability and efficiency.,Metal,87.88,264.97
Clamp R,347,A high-quality clamp designed for durability and efficiency.,Composite,10.92,455.54
Level S,31,A high-quality level designed for durability and efficiency.,Fabric,39.99,280.04
Sandpaper T,51,A high-quality sandpaper designed for durability and efficiency.,Metal,1.79,17.5
Wire Cutter U,80,A high-quality wire designed for durability and efficiency.,Composite,29.26,444.64
Socket V,410,A high-quality socket designed for durability and efficiency.,Glass,14.93,349.56
Drill Bit W,434,A high-quality drill designed for durability and efficiency.,Glass,17.5,430.32
Grinder X,61,A high-quality grinder designed for durability and efficiency.,Ceramic,77.7,288.3
Screw Y,28,A high-quality screw designed for durability and efficiency.,Wood,25.52,314.81
Bolt Z,445,A high-quality bolt designed for durability and efficiency.,Ceramic,11.9,70.61
Nail A,223,A high-quality nail designed for durability and efficiency.,Wood,37.96,14.04
Hammer B,252,A high-quality hammer designed for durability and efficiency.,Glass,10.81,28.24
Wrench C,288,A high-quality wrench designed for durability and efficiency.,Composite,73.14,322.64
Drill D,480,A high-quality drill designed for durability and efficiency.,Wood,20.92,202.66
Saw E,280,A high-quality saw designed for durability and efficiency.,Plastic,5.04,140.0
Pliers F,185,A high-quality pliers designed for durability and efficiency.,Composite,74.52,31.99
Tape Measure G,387,A high-quality tape designed for durability and efficiency.,Plastic,79.55,73.8
Screwdriver H,297,A high-quality screwdriver designed for durability and efficiency.,Ceramic,80.58,289.08
Nut I,100,A high-quality nut designed for durability and efficiency.,Composite,84.06,201.82
Washer J,273,A high-quality washer designed for durability and efficiency.,Glass,56.25,492.88
Chisel K,439,A high-quality chisel designed for durability and efficiency.,Composite,43.09,50.61
Clamp L,90,A high-quality clamp designed for durability and efficiency.,Ceramic,36.36,210.85
Level M,416,A high-quality level designed for durability and efficiency.,Plastic,37.61,90.52
Sandpaper N,142,A high-quality sandpaper designed for durability and efficiency.,Glass,48.53,174.48
Wire Cutter O,54,A high-quality wire designed for durability and efficiency.,Glass,96.6,375.8
Socket P,488,A high-quality socket designed for durability and efficiency.,Fabric,73.33,226.41
Drill Bit Q,298,A high-quality drill designed for durability and efficiency.,Wood,26.23,306.79
Grinder R,374,A high-quality grinder designed for durability and efficiency.,Ceramic,77.28,99.41
Screw S,81,A high-quality screw designed for durability and efficiency.,Ceramic,43.04,219.69
Bolt T,400,A high-quality bolt designed for durability and efficiency.,Wood,26.24,420.95
Nail U,144,A high-quality nail designed for durability and efficiency.,Metal,49.48,72.14
Hammer V,150,A high-quality hammer designed for durability and efficiency.,Wood,37.54,305.88
Wrench W,197,A high-quality wrench designed for durability and efficiency.,Ceramic,8.54,284.09
Drill X,167,A high-quality drill designed for durability and efficiency.,Composite,4.72,380.32
Saw Y,62,A high-quality saw designed for durability and efficiency.,Ceramic,17.45,117.51
Pliers Z,345,A high-quality pliers designed for durability and efficiency.,Ceramic,5.67,335.3
Tape Measure A,412,A high-quality tape designed for durability and efficiency.,Plastic,17.82,303.77
Screwdriver B,337,A high-quality screwdriver designed for durability and efficiency.,Glass,28.12,9.81
Nut C,322,A high-quality nut designed for durability and efficiency.,Composite,44.58,274.84
Washer D,193,A high-quality washer designed for durability and efficiency.,Wood,47.95,367.58
Chisel E,148,A high-quality chisel designed for durability and efficiency.,Plastic,65.82,161.9
Clamp F,90,A high-quality clamp designed for durability and efficiency.,Fabric,51.82,489.64
Level G,383,A high-quality level designed for durability and efficiency.,Fabric,67.29,28.41
Sandpaper H,154,A high-quality sandpaper designed for durability and efficiency.,Plastic,75.78,140.57
Wire Cutter I,414,A high-quality wire designed for durability and efficiency.,Fabric,43.46,251.81
Socket J,73,A high-quality socket designed for durability and efficiency.,Wood,75.33,214.76
Drill Bit K,27,A high-quality drill designed for durability and efficiency.,Glass,7.64,17.52
Grinder L,34,A high-quality grinder designed for durability and efficiency.,Ceramic,10.19,100.17
Screw M,274,A high-quality screw designed for durability and efficiency.,Composite,95.29,63.9
Bolt N,246,A high-quality bolt designed for durability and efficiency.,Composite,62.72,355.85
Nail O,144,A high-quality nail designed for durability and efficiency.,Glass,76.29,142.06
Hammer P,497,A high-quality hammer designed for durability and efficiency.,Wood,52.04,463.95
Wrench Q,322,A high-quality wrench designed for durability and efficiency.,Metal,77.57,157.87
Drill R,459,A high-quality drill designed for durability and efficiency.,Ceramic,58.99,310.69
Saw S,321,A high-quality saw designed for durability and efficiency.,Plastic,31.17,471.46
Pliers T,195,A high-quality pliers designed for durability and efficiency.,Wood,98.83,174.57
Tape Measure U,382,A high-quality tape designed for durability and efficiency.,Metal,92.76,494.37
Screwdriver V,417,A high-quality screwdriver designed for durability and efficiency.,Composite,34.27,53.46
Nut W,372,A high-quality nut designed for durability and efficiency.,Ceramic,89.42,450.2
Washer X,264,A high-quality washer designed for durability and efficiency.,Ceramic,35.09,496.2
Chisel Y,370,A high-quality chisel designed for durability and efficiency.,Fabric,32.53,160.83
Clamp Z,82,A high-quality clamp designed for durability and efficiency.,Fabric,38.24,498.31
Level A,217,A high-quality level designed for durability and efficiency.,Composite,65.49,438.09
Sandpaper B,72,A high-quality sandpaper designed for durability and efficiency.,Wood,85.43,272.48
Wire Cutter C,130,A high-quality wire designed for durability and efficiency.,Glass,59.56,461.0
Socket D,64,A high-quality socket designed for durability and efficiency.,Wood,40.2,272.12
Drill Bit E,481,A high-quality drill designed for durability and efficiency.,Wood,39.35,197.82
Grinder F,129,A high-quality grinder designed for durability and efficiency.,Fabric,57.03,482.77
Screw G,102,A high-quality screw designed for durability and efficiency.,Composite,94.71,407.76
Bolt H,25,A high-quality bolt designed for durability and efficiency.,Ceramic,8.41,56.92
Nail I,215,A high-quality nail designed for durability and efficiency.,Glass,82.44,10.2
Hammer J,34,A high-quality hammer designed for durability and efficiency.,Ceramic,81.66,169.94
Wrench K,363,A high-quality wrench designed for durability and efficiency.,Ceramic,24.69,53.75
Drill L,372,A high-quality drill designed for durability and efficiency.,Fabric,41.67,315.18
Saw M,35,A high-quality saw designed for durability and efficiency.,Ceramic,61.24,43.2
Pliers N,378,A high-quality pliers designed for durability and efficiency.,Composite,30.14,471.52
Tape Measure O,354,A high-quality tape designed for durability and efficiency.,Wood,80.97,156.97
Screwdriver P,111,A high-quality screwdriver designed for durability and efficiency.,Composite,50.09,25.99
Nut Q,289,A high-quality nut designed for durability and efficiency.,Glass,59.77,165.68
Washer R,27,A high-quality washer designed for durability and efficiency.,Plastic,29.2,98.77
Chisel S,25,A high-quality chisel designed for durability and efficiency.,Glass,35.52,361.5
Clamp T,19,A high-quality clamp designed for durability and efficiency.,Metal,43.6,177.18
Level U,150,A high-quality level designed for durability and efficiency.,Fabric,19.65,225.07
Sandpaper V,163,A high-quality sandpaper designed for durability and efficiency.,Plastic,63.01,415.97
Wire Cutter W,182,A high-quality wire designed for durability and efficiency.,Ceramic,41.05,116.79
Socket X,390,A high-quality socket designed for durability and efficiency.,Metal,6.63,51.19
Drill Bit Y,458,A high-quality drill designed for durability and efficiency.,Wood,37.18,398.32
Grinder Z,35,A high-quality grinder designed for durability and efficiency.,Ceramic,12.46,362.85
Screw A,98,A high-quality screw designed for durability and efficiency.,Metal,98.39,222.3
Bolt B,272,A high-quality bolt designed for durability and efficiency.,Ceramic,86.47,309.99
Nail C,33,A high-quality nail designed for durability and efficiency.,Ceramic,48.59,387.36
Hammer D,485,A high-quality hammer designed for durability and efficiency.,Ceramic,51.22,256.02
Wrench E,128,A high-quality wrench designed for durability and efficiency.,Fabric,93.54,243.28
Drill F,269,A high-quality drill designed for durability and efficiency.,Glass,97.29,433.37
Saw G,227,A high-quality saw designed for durability and efficiency.,Ceramic,85.49,67.64
Pliers H,60,A high-quality pliers designed for durability and efficiency.,Plastic,62.65,179.19
Tape Measure I,75,A high-quality tape designed for durability and efficiency.,Wood,9.29,37.5
Screwdriver J,102,A high-quality screwdriver designed for durability and efficiency.,Metal,59.09,381.05
Nut K,24,A high-quality nut designed for durability and efficiency.,Metal,92.65,423.65
Washer L,216,A high-quality washer designed for durability and efficiency.,Glass,69.95,181.62
Chisel M,37,A high-quality chisel designed for durability and efficiency.,Wood,5.7,10.6
Clamp N,460,A high-quality clamp designed for durability and efficiency.,Wood,66.95,349.69
Level O,382,A high-quality level designed for durability and efficiency.,Composite,57.14,12.6
Sandpaper P,201,A high-quality sandpaper designed for durability and efficiency.,Fabric,61.51,229.2
Wire Cutter Q,326,A high-quality wire designed for durability and efficiency.,Wood,25.02,295.08
Socket R,124,A high-quality socket designed for durability and efficiency.,Fabric,99.74,372.61
Drill Bit S,49,A high-quality drill designed for durability and efficiency.,Ceramic,38.68,489.86
Grinder T,24,A high-quality grinder designed for durability and efficiency.,Composite,89.15,30.95
Screw U,183,A high-quality screw designed for durability and efficiency.,Glass,92.46,187.21
Bolt V,253,A high-quality bolt designed for durability and efficiency.,Composite,42.22,206.08
Nail W,217,A high-quality nail designed for durability and efficiency.,Fabric,11.16,438.5
Hammer X,170,A high-quality hammer designed for durability and efficiency.,Ceramic,54.52,175.38
Wrench Y,470,A high-quality wrench designed for durability and efficiency.,Fabric,94.36,327.62
Drill Z,115,A high-quality drill designed for durability and efficiency.,Plastic,13.77,219.6
Saw A,298,A high-quality saw designed for durability and efficiency.,Ceramic,21.79,139.22
Pliers B,388,A high-quality pliers designed for durability and efficiency.,Ceramic,98.37,317.0
Tape Measure C,104,A high-quality tape designed for durability and efficiency.,Wood,28.54,322.64
Screwdriver D,129,A high-quality screwdriver designed for durability and efficiency.,Fabric,89.93,28.22
Nut E,432,A high-quality nut designed for durability and efficiency.,Ceramic,92.54,486.8
Washer F,338,A high-quality washer designed for durability and efficiency.,Ceramic,55.81,239.2
Chisel G,446,A high-quality chisel designed for durability and efficiency.,Wood,40.85,325.54
Clamp H,79,A high-quality clamp designed for durability and efficiency.,Metal,20.41,372.73
Level I,391,A high-quality level designed for durability and efficiency.,Composite,13.61,373.2
Sandpaper J,270,A high-quality sandpaper designed for durability and efficiency.,Metal,22.54,211.68
Wire Cutter K,190,A high-quality wire designed for durability and efficiency.,Metal,81.52,183.25
